85,2000-05-02,SPX,1468.25,1468.25,1445.14,1446.29
86,2000-05-03,SPX,1446.29,1446.29,1398.36,1415.10
87,2000-05-04,SPX,1415.10,1420.51,1404.98,1409.57
88,2000-05-05,SPX,1409.57,1435.87,1405.16,1432.63
89,2000-05-08,SPX,1432.63,1432.63,1416.92,1424.17
90,2000-05-09,SPX,1424.17,1429.81,1401.86,1412.14
91,2000-05-10,SPX,1412.14,1412.14,1375.21,1383.05
92,2000-05-11,SPX,1383.05,1410.25,1383.05,1407.81
93,2000-05-12,SPX,1407.81,1430.20,1407.81,1420.96
94,2000-05-15,SPX,1420.96,1452.36,1417.05,1452.36
95,2000-05-16,SPX,1452.36,1470.40,1450.76,1466.04
96,2000-05-17,SPX,1466.04,1466.04,1441.63,1447.80
97,2000-05-18,SPX,1447.80,1457.96,1436.65,1437.21
98,2000-05-19,SPX,1437.21,1437.21,1401.76,1406.95
99,2000-05-22,SPX,1406.95,1410.32,1368.62,1400.72
100,2000-05-23,SPX,1400.72,1403.77,1373.43,1373.86
101,2000-05-24,SPX,1373.86,1401.41,1361.20,1399.05
102,2000-05-25,SPX,1399.05,1411.89,1373.99,1381.52
103,2000-05-26,SPX,1381.52,1391.55,1369.80,1378.02
104,2000-05-30,SPX,1378.02,1422.45,1377.80,1422.45
105,2000-05-31,SPX,1422.45,1434.56,1415.39,1420.60
106,2000-06-01,SPX,1420.60,1448.81,1420.60,1448.81
107,2000-06-02,SPX,1448.81,1483.43,1448.81,1477.26
108,2000-06-05,SPX,1477.26,1477.26,1464.67,1467.63
109,2000-06-06,SPX,1467.63,1471.32,1454.78,1457.84
110,2000-06-07,SPX,1457.84,1474.57,1455.22,1471.36
111,2000-06-08,SPX,1471.36,1475.64,1456.47,1461.67
112,2000-06-09,SPX,1461.67,1472.66,1454.88,1456.95
113,2000-06-12,SPX,1456.95,1463.01,1445.99,1446.00
114,2000-06-13,SPX,1446.00,1470.36,1442.49,1469.44
115,2000-06-14,SPX,1469.44,1483.58,1467.84,1470.54
116,2000-06-15,SPX,1470.54,1482.02,1464.46,1478.73
117,2000-06-16,SPX,1478.73,1480.95,1460.33,1464.46
118,2000-06-19,SPX,1464.46,1488.98,1459.00,1486.00
119,2000-06-20,SPX,1486.00,1487.22,1470.23,1475.95
120,2000-06-21,SPX,1475.95,1482.24,1468.49,1479.13
121,2000-06-22,SPX,1479.13,1479.13,1448.06,1452.18
122,2000-06-23,SPX,1452.18,1459.82,1438.35,1441.48
123,2000-06-26,SPX,1441.48,1462.34,1441.48,1455.31
124,2000-06-27,SPX,1455.31,1463.35,1450.55,1450.55
125,2000-06-28,SPX,1450.55,1467.63,1450.55,1454.82
126,2000-06-29,SPX,1454.82,1455.17,1434.64,1442.39
127,2000-06-30,SPX,1442.39,1454.69,1438.79,1454.60
128,2000-07-03,SPX,1454.60,1469.83,1450.79,1469.54
129,2000-07-05,SPX,1469.54,1469.54,1442.48,1446.23
130,2000-07-06,SPX,1446.23,1461.65,1439.60,1456.67
131,2000-07-07,SPX,1456.67,1485.15,1456.67,1478.90
132,2000-07-10,SPX,1478.90,1486.50,1474.73,1475.62
133,2000-07-11,SPX,1475.62,1488.88,1470.47,1480.88
134,2000-07-12,SPX,1480.88,1497.48,1480.88,1492.92
135,2000-07-13,SPX,1492.92,1501.39,1489.65,1495.84
136,2000-07-14,SPX,1495.84,1509.98,1494.67,1509.98
137,2000-07-17,SPX,1509.98,1517.24,1505.33,1510.49
138,2000-07-18,SPX,1510.49,1510.49,1491.41,1493.74
139,2000-07-19,SPX,1493.74,1495.55,1479.76,1481.96
140,2000-07-20,SPX,1481.96,1501.88,1481.96,1495.57
141,2000-07-21,SPX,1495.57,1495.57,1477.95,1480.19
142,2000-07-24,SPX,1480.19,1485.85,1463.81,1464.29
143,2000-07-25,SPX,1464.29,1476.26,1464.29,1474.47
144,2000-07-26,SPX,1474.47,1474.47,1452.42,1452.42
145,2000-07-27,SPX,1452.42,1464.75,1445.30,1449.62
146,2000-07-28,SPX,1449.62,1456.35,1414.16,1419.89
147,2000-07-31,SPX,1419.89,1437.63,1418.26,1430.83
148,2000-08-01,SPX,1430.83,1443.52,1428.84,1438.10
149,2000-08-02,SPX,1438.10,1451.58,1433.54,1438.70
150,2000-08-03,SPX,1438.70,1454.35,1426.05,1452.56
151,2000-08-04,SPX,1452.56,1462.93,1451.46,1462.93
152,2000-08-07,SPX,1462.93,1480.89,1460.79,1479.32
153,2000-08-08,SPX,1479.32,1484.52,1472.61,1482.80
154,2000-08-09,SPX,1482.80,1490.33,1471.16,1472.87
155,2000-08-10,SPX,1472.87,1475.15,1459.89,1460.25
156,2000-08-11,SPX,1460.25,1475.60,1452.91,1471.84
157,2000-08-14,SPX,1471.84,1491.58,1468.60,1491.56
158,2000-08-15,SPX,1491.56,1493.04,1482.85,1484.43
159,2000-08-16,SPX,1484.43,1494.73,1475.81,1479.85
160,2000-08-17,SPX,1479.85,1499.46,1479.85,1496.07
161,2000-08-18,SPX,1496.07,1499.45,1488.94,1491.72
162,2000-08-21,SPX,1491.72,1502.95,1491.12,1499.48
163,2000-08-22,SPX,1499.48,1508.18,1497.56,1498.13
164,2000-08-23,SPX,1498.13,1507.30,1489.39,1505.97
165,2000-08-24,SPX,1505.97,1511.16,1501.30,1508.31
166,2000-08-25,SPX,1508.31,1513.41,1505.16,1506.45
167,2000-08-28,SPX,1506.45,1523.88,1506.46,1514.09
168,2000-08-29,SPX,1514.09,1514.81,1505.46,1509.84
169,2000-08-30,SPX,1509.84,1510.44,1500.08,1502.59
170,2000-08-31,SPX,1502.59,1525.30,1502.59,1517.68
171,2000-09-01,SPX,1517.68,1530.01,1515.60,1520.77
172,2000-09-05,SPX,1520.77,1520.77,1504.21,1507.08
173,2000-09-06,SPX,1507.08,1512.37,1492.19,1492.25
174,2000-09-07,SPX,1492.25,1505.23,1492.25,1502.51
175,2000-09-08,SPX,1502.51,1502.51,1489.93,1494.50
176,2000-09-11,SPX,1494.50,1506.59,1483.03,1489.26
177,2000-09-12,SPX,1489.26,1496.60,1479.93,1481.99
178,2000-09-13,SPX,1481.99,1487.36,1474.03,1484.91
179,2000-09-14,SPX,1484.91,1494.27,1476.77,1480.87
180,2000-09-15,SPX,1480.87,1480.87,1460.54,1465.81
181,2000-09-18,SPX,1465.81,1467.88,1441.76,1444.51
182,2000-09-19,SPX,1444.51,1461.05,1444.51,1459.90
183,2000-09-20,SPX,1459.90,1460.73,1430.95,1451.34
184,2000-09-21,SPX,1451.34,1452.90,1436.19,1449.05
185,2000-09-22,SPX,1449.05,1449.41,1421.88,1448.72
186,2000-09-25,SPX,1448.72,1457.36,1436.08,1439.03
187,2000-09-26,SPX,1439.03,1447.74,1425.29,1427.21
188,2000-09-27,SPX,1427.21,1436.74,1419.54,1426.57
189,2000-09-28,SPX,1426.57,1461.65,1425.79,1458.29
190,2000-09-29,SPX,1458.29,1458.29,1436.48,1436.51
191,2000-10-02,SPX,1436.51,1445.51,1429.75,1436.23
192,2000-10-03,SPX,1436.23,1454.82,1425.28,1426.46
193,2000-10-04,SPX,1426.46,1439.99,1416.31,1434.32
194,2000-10-05,SPX,1434.32,1444.17,1431.80,1436.28
195,2000-10-06,SPX,1436.28,1443.30,1397.06,1408.99
196,2000-10-09,SPX,1408.99,1409.69,1392.48,1402.03
197,2000-10-10,SPX,1402.03,1408.83,1383.85,1387.02
198,2000-10-11,SPX,1387.02,1387.02,1349.67,1364.59
199,2000-10-12,SPX,1364.59,1374.93,1329.06,1329.78
200,2000-10-13,SPX,1329.78,1374.17,1326.81,1374.17
201,2000-10-16,SPX,1374.17,1379.48,1365.06,1374.62
202,2000-10-17,SPX,1374.62,1380.99,1342.34,1349.97
203,2000-10-18,SPX,1349.97,1356.65,1305.79,1342.13
204,2000-10-19,SPX,1342.13,1389.93,1342.13,1388.76
205,2000-10-20,SPX,1388.76,1408.47,1382.19,1396.93
206,2000-10-23,SPX,1396.93,1406.96,1387.75,1395.78
207,2000-10-24,SPX,1395.78,1415.64,1388.13,1398.13
208,2000-10-25,SPX,1398.13,1398.13,1362.21,1364.90
209,2000-10-26,SPX,1364.90,1372.72,1337.77,1364.44
210,2000-10-27,SPX,1364.44,1384.57,1364.13,1379.58
211,2000-10-30,SPX,1379.58,1406.36,1376.86,1398.66
212,2000-10-31,SPX,1398.66,1432.22,1398.66,1429.40
213,2000-11-01,SPX,1429.40,1429.60,1410.45,1421.22
214,2000-11-02,SPX,1421.22,1433.27,1421.13,1428.32
215,2000-11-03,SPX,1428.32,1433.21,1420.92,1426.69
216,2000-11-06,SPX,1426.69,1438.46,1427.72,1432.19
217,2000-11-07,SPX,1432.19,1436.22,1423.26,1431.87
218,2000-11-08,SPX,1431.87,1437.28,1408.78,1409.28
219,2000-11-09,SPX,1409.28,1409.28,1369.68,1400.14
220,2000-11-10,SPX,1400.14,1400.14,1365.97,1365.98
221,2000-11-13,SPX,1365.98,1365.98,1328.62,1351.26
222,2000-11-14,SPX,1351.26,1390.06,1351.26,1382.95
223,2000-11-15,SPX,1382.95,1395.96,1374.75,1389.81
224,2000-11-16,SPX,1389.81,1394.68,1370.40,1372.32
225,2000-11-17,SPX,1372.32,1384.85,1355.55,1367.72
226,2000-11-20,SPX,1367.72,1367.72,1341.67,1342.62
227,2000-11-21,SPX,1342.62,1355.87,1333.62,1347.35
228,2000-11-22,SPX,1347.35,1347.35,1321.89,1322.36
229,2000-11-24,SPX,1322.36,1343.83,1322.36,1341.77
230,2000-11-27,SPX,1341.77,1362.50,1341.77,1348.97
231,2000-11-28,SPX,1348.97,1358.81,1334.97,1336.09
232,2000-11-29,SPX,1336.09,1352.38,1329.28,1341.91
233,2000-11-30,SPX,1341.91,1341.91,1294.90,1314.95
234,2000-12-01,SPX,1314.95,1334.67,1307.02,1315.23
235,2000-12-04,SPX,1315.23,1332.06,1310.23,1324.97
236,2000-12-05,SPX,1324.97,1376.56,1324.97,1376.54
237,2000-12-06,SPX,1376.54,1376.54,1346.15,1351.46
238,2000-12-07,SPX,1351.46,1353.50,1339.26,1343.55
239,2000-12-08,SPX,1343.55,1380.33,1343.55,1369.89
240,2000-12-11,SPX,1369.89,1389.05,1364.14,1380.20
241,2000-12-12,SPX,1380.20,1380.27,1370.27,1371.18
242,2000-12-13,SPX,1371.18,1385.82,1358.48,1359.99
243,2000-12-14,SPX,1359.99,1359.99,1340.48,1340.93
244,2000-12-15,SPX,1340.93,1340.93,1305.38,1312.15
245,2000-12-18,SPX,1312.15,1332.32,1312.15,1322.74
246,2000-12-19,SPX,1322.74,1346.44,1305.20,1305.60
247,2000-12-20,SPX,1305.60,1305.60,1261.16,1264.74
248,2000-12-21,SPX,1264.74,1285.31,1254.07,1274.86
249,2000-12-22,SPX,1274.86,1305.97,1274.86,1305.97
250,2000-12-26,SPX,1305.97,1315.94,1301.64,1315.19
251,2000-12-27,SPX,1315.19,1332.03,1310.96,1328.92
252,2000-12-28,SPX,1328.92,1335.93,1325.78,1334.22
253,2000-12-29,SPX,1334.22,1340.10,1317.51,1320.28
254,2001-01-02,SPX,1320.28,1320.28,1276.05,1283.27
255,2001-01-03,SPX,1283.27,1347.76,1274.62,1347.56
256,2001-01-04,SPX,1347.56,1350.24,1329.14,1333.34
257,2001-01-05,SPX,1333.34,1334.77,1294.95,1298.35
258,2001-01-08,SPX,1298.35,1298.35,1276.29,1295.86
259,2001-01-09,SPX,1295.86,1311.72,1295.14,1300.80
260,2001-01-10,SPX,1300.80,1313.76,1287.28,1313.27
261,2001-01-11,SPX,1313.27,1332.19,1309.72,1326.82
262,2001-01-12,SPX,1326.82,1333.21,1311.59,1318.32
263,2001-01-16,SPX,1318.32,1327.81,1313.33,1326.65
264,2001-01-17,SPX,1326.65,1346.92,1325.41,1329.47
265,2001-01-18,SPX,1329.47,1352.71,1327.41,1347.97
266,2001-01-19,SPX,1347.97,1354.55,1336.74,1342.54
267,2001-01-22,SPX,1342.54,1353.62,1333.84,1342.90
268,2001-01-23,SPX,1342.90,1362.90,1339.63,1360.40
269,2001-01-24,SPX,1360.40,1369.75,1357.28,1364.30
270,2001-01-25,SPX,1364.30,1367.35,1354.63,1357.51
271,2001-01-26,SPX,1357.51,1357.51,1342.75,1354.95
272,2001-01-29,SPX,1354.95,1365.54,1350.36,1364.17
273,2001-01-30,SPX,1364.17,1375.68,1356.20,1373.73
274,2001-01-31,SPX,1373.73,1383.37,1364.66,1366.01
275,2001-02-01,SPX,1366.01,1373.50,1359.34,1373.47
276,2001-02-02,SPX,1373.47,1376.38,1348.72,1349.47
277,2001-02-05,SPX,1349.47,1354.56,1344.48,1354.31
278,2001-02-06,SPX,1354.31,1363.55,1350.04,1352.26
279,2001-02-07,SPX,1352.26,1352.26,1334.26,1340.89
280,2001-02-08,SPX,1340.89,1350.32,1332.42,1332.53
281,2001-02-09,SPX,1332.53,1332.53,1309.98,1314.76
282,2001-02-12,SPX,1314.76,1330.96,1313.64,1330.31
283,2001-02-13,SPX,1330.31,1336.62,1317.51,1318.80
284,2001-02-14,SPX,1318.80,1320.73,1304.72,1315.92
285,2001-02-15,SPX,1315.92,1331.29,1315.92,1326.61
286,2001-02-16,SPX,1326.61,1326.61,1293.18,1301.53
287,2001-02-20,SPX,1301.53,1307.16,1278.44,1278.94
288,2001-02-21,SPX,1278.94,1282.97,1253.16,1255.27
289,2001-02-22,SPX,1255.27,1259.94,1228.33,1252.82
290,2001-02-23,SPX,1252.82,1252.82,1215.44,1245.86
291,2001-02-26,SPX,1245.86,1267.69,1241.71,1267.65
292,2001-02-27,SPX,1267.65,1272.76,1252.26,1257.94
293,2001-02-28,SPX,1257.94,1263.47,1229.65,1239.94
294,2001-03-01,SPX,1239.94,1241.36,1214.50,1241.23
295,2001-03-02,SPX,1241.23,1251.01,1219.74,1234.18
296,2001-03-05,SPX,1234.18,1242.55,1234.04,1241.41
297,2001-03-06,SPX,1241.41,1267.42,1241.41,1253.80
298,2001-03-07,SPX,1253.80,1263.86,1253.80,1261.89
299,2001-03-08,SPX,1261.89,1266.50,1257.60,1264.74
300,2001-03-09,SPX,1264.74,1264.74,1228.42,1233.42
301,2001-03-12,SPX,1233.42,1233.42,1176.78,1180.16
302,2001-03-13,SPX,1180.16,1197.83,1171.50,1197.66
303,2001-03-14,SPX,1197.66,1197.66,1155.35,1166.71
304,2001-03-15,SPX,1166.71,1182.04,1166.71,1173.56
305,2001-03-16,SPX,1173.56,1173.56,1148.64,1150.53
306,2001-03-19,SPX,1150.53,1173.50,1147.18,1170.81
307,2001-03-20,SPX,1170.81,1180.56,1142.19,1142.62
308,2001-03-21,SPX,1142.62,1149.39,1118.74,1122.14
309,2001-03-22,SPX,1122.14,1124.27,1081.19,1117.58
310,2001-03-23,SPX,1117.58,1141.83,1117.58,1139.83
311,2001-03-26,SPX,1139.83,1160.02,1139.83,1152.69
312,2001-03-27,SPX,1152.69,1183.36,1150.96,1182.17
313,2001-03-28,SPX,1182.17,1182.17,1147.83,1153.29
314,2001-03-29,SPX,1153.29,1161.69,1136.26,1147.95
315,2001-03-30,SPX,1147.95,1162.80,1143.83,1160.33
316,2001-04-02,SPX,1160.33,1169.51,1137.51,1145.87
317,2001-04-03,SPX,1145.87,1145.87,1100.19,1106.46
318,2001-04-04,SPX,1106.46,1117.50,1091.99,1103.25
319,2001-04-05,SPX,1103.25,1151.47,1103.25,1151.44
320,2001-04-06,SPX,1151.44,1151.44,1119.29,1128.43
321,2001-04-09,SPX,1128.43,1146.13,1126.38,1137.59
322,2001-04-10,SPX,1137.59,1173.92,1137.59,1168.38
323,2001-04-11,SPX,1168.38,1182.24,1160.26,1165.89
324,2001-04-12,SPX,1165.89,1183.51,1157.73,1183.50
325,2001-04-16,SPX,1183.50,1184.64,1167.38,1179.68
326,2001-04-17,SPX,1179.68,1192.25,1168.90,1191.81
327,2001-04-18,SPX,1191.81,1248.42,1191.81,1238.16
328,2001-04-19,SPX,1238.16,1253.71,1233.39,1253.70
329,2001-04-20,SPX,1253.70,1253.70,1234.41,1242.98
330,2001-04-23,SPX,1242.98,1242.98,1217.47,1224.36
331,2001-04-24,SPX,1224.36,1233.54,1208.89,1209.47
