Date,Open,High,Low,Close
08/01/2025,"6,287.28","6,287.28","6,212.69","6,238.01"
07/31/2025,"6,427.02","6,427.02","6,327.64","6,339.39"
07/30/2025,"6,381.23","6,396.54","6,336.38","6,362.90"
07/29/2025,"6,405.62","6,409.26","6,363.92","6,370.86"
07/28/2025,"6,397.69","6,401.07","6,375.79","6,389.77"
07/25/2025,"6,370.01","6,395.82","6,368.53","6,388.64"
07/24/2025,"6,368.60","6,381.31","6,360.57","6,363.35"
07/23/2025,"6,326.90","6,360.64","6,317.49","6,358.91"
07/22/2025,"6,306.60","6,316.12","6,281.71","6,309.62"
07/21/2025,"6,304.74","6,336.08","6,303.79","6,305.60"
07/18/2025,"6,312.95","6,315.61","6,285.27","6,296.79"
07/17/2025,"6,263.40","6,304.69","6,262.27","6,297.36"
07/16/2025,"6,254.50","6,268.12","6,201.59","6,263.70"
07/15/2025,"6,295.29","6,302.04","6,241.68","6,243.76"
07/14/2025,"6,255.15","6,273.31","6,239.22","6,268.56"
07/11/2025,"6,255.68","6,269.44","6,237.60","6,259.75"
07/10/2025,"6,266.80","6,290.22","6,251.44","6,280.46"
07/09/2025,"6,243.33","6,269.16","6,231.43","6,263.26"
07/08/2025,"6,234.03","6,242.70","6,217.75","6,225.52"
07/07/2025,"6,259.04","6,262.07","6,201.00","6,229.98"
07/03/2025,"6,246.46","6,284.65","6,246.46","6,279.35"
07/02/2025,"6,193.88","6,227.60","6,188.29","6,227.42"
07/01/2025,"6,187.25","6,210.78","6,177.97","6,198.01"
06/30/2025,"6,193.36","6,215.08","6,174.97","6,204.95"
06/27/2025,"6,150.70","6,187.68","6,132.35","6,173.07"
06/26/2025,"6,112.09","6,146.52","6,107.27","6,141.02"
06/25/2025,"6,104.23","6,108.51","6,080.09","6,092.16"
06/24/2025,"6,061.21","6,101.76","6,059.25","6,092.18"
06/23/2025,"5,969.67","6,028.77","5,943.23","6,025.17"
06/20/2025,"5,999.67","6,018.20","5,952.56","5,967.84"
06/18/2025,"5,987.93","6,018.25","5,971.89","5,980.87"
06/17/2025,"6,012.15","6,023.25","5,974.80","5,982.72"
06/16/2025,"6,004.00","6,050.83","6,004.00","6,033.11"
06/13/2025,"6,000.56","6,026.16","5,963.21","5,976.97"
06/12/2025,"6,009.90","6,045.43","6,003.88","6,045.26"
06/11/2025,"6,049.38","6,059.40","6,002.32","6,022.24"
06/10/2025,"6,009.91","6,043.01","6,000.28","6,038.81"
06/09/2025,"6,004.63","6,021.31","5,994.18","6,005.88"
06/06/2025,"5,987.06","6,016.87","5,978.63","6,000.36"
06/05/2025,"5,985.67","5,999.70","5,921.20","5,939.30"
06/04/2025,"5,978.94","5,990.48","5,966.11","5,970.81"
06/03/2025,"5,938.56","5,981.35","5,929.00","5,970.37"
06/02/2025,"5,896.68","5,937.40","5,861.43","5,935.94"
